question,document
The homework form is still open after the deadline — does that mean I can still submit it?,4dbd2eea47
How do I make sure my homework submission actually went through on the course page?,4dbd2eea47
Do I need to be logged in to check whether my homework was submitted with the right timestamp?,4dbd2eea47
What should I put as the homework URL in the submission link?,9d89b52976
"Does the homework link need to point to GitHub, or can it be something else?",9d89b52976
"For the homework URL, is my code repo enough or do I need a special page?",9d89b52976
Where should I submit my homework link if I keep my work in Bitbucket or GitLab?,9d89b52976
What kind of link counts as a valid homework URL for this course?,9d89b52976
How do I find my name on the course leaderboard if I don't know what display name was assigned to me?,7255a1c3bc
"Where can I see the random name the course gave me for the leaderboard, and can I change it?",7255a1c3bc
I signed up for the cohort site but can’t find myself on the leaderboard — where should I look?,7255a1c3bc
How do I check or edit the name that shows up on the leaderboard and set the name for my certificate too?,7255a1c3bc
What page do I need to open to see my leaderboard display name for the Zoomcamp course?,7255a1c3bc
Are there any live Zoom calls besides the regular office hour sessions?,99bb0ceeb6
"Will there be extra calls during the Capstone period, or is that not planned?",99bb0ceeb6
"If you do schedule additional Zoom meetings, how will we know about them ahead of time?",99bb0ceeb6
Where can I check the calendar for the course live calls and announcements?,99bb0ceeb6
"Do you usually run any Q&A Zoom sessions during Capstone, and are they announced in advance?",99bb0ceeb6
How can I help improve this course repo if I notice something that could be better?,721f9e0c29
Is there a way for students to contribute changes or fixes to the course materials?,721f9e0c29
What are the best ways to support the data engineering zoomcamp project?,721f9e0c29
Can I submit edits or improvements to the course content somewhere?,721f9e0c29
"Besides sharing it, how else can I contribute to the course?",721f9e0c29
Are there any books or other resources you recommend for this course?,86251abcdf
Do you have a list of extra materials I can use to learn more about data engineering?,86251abcdf
Where can I find recommended books and helpful links for the zoomcamp?,86251abcdf
Is there an awesome resources document for data engineering I should check out?,86251abcdf
What’s the best place to get additional study resources for this class?,86251abcdf
What exactly counts as Project Attempt #1 and Project Attempt #2 in this course?,9b0561dbf8
"If I miss the first project deadline, do I still get another chance to submit it?",9b0561dbf8
"Can I resubmit my project after failing the first attempt, or is it final?",9b0561dbf8
How do the two project attempts work if I submit late the first time?,9b0561dbf8
"Is the second project attempt only for people who failed the first one, or also for people who were late?",9b0561dbf8
How do I set up GitHub and get the course repository onto my laptop?,dc06a38bc6
What’s the easiest way to clone the course repo so I can follow along with the lessons?,dc06a38bc6
Do I need my own Git repository for notes and assignments in this course?,dc06a38bc6
Which files should I keep out of Git when I’m working on course projects?,dc06a38bc6
"Is it safe to commit .env files, passwords, or API keys to a repo?",dc06a38bc6
"How do I know when the certificate is ready, and where do I get it after grading is finished?",6314bc3029
"Do I need to check my name before the certificate is generated, and if it’s wrong, where should I fix it?",6314bc3029
Which course page or enrollment link should I open to generate my certificate once the announcement is posted?,6314bc3029
"Where exactly do I follow the certificate instructions, and is there a guide for generating the document?",6314bc3029
"Will the course Telegram and Slack channels be used for certificate updates, or should I check somewhere else too?",6314bc3029
"How are homework points calculated after I submit an assignment, and where can I see my score?",05727a95dd
"What counts toward the course leaderboard besides homework, and how many points can I get from each part?",05727a95dd
Is there a limit on points for FAQ contributions and the Learning in Public links?,05727a95dd
"Where do I find the leaderboard for my current cohort, and how do I know the right URL?",05727a95dd
Is there a video or guide that explains how the homework and leaderboard points system works?,05727a95dd
"I already submitted my project, but my certificate still doesn’t show up — is that normal or did I fail somehow?",5ee1e7ea9c
Why does my leaderboard score stay at zero right after I turn in the project?,5ee1e7ea9c
How long does it usually take before the certificate becomes available after project submission?,5ee1e7ea9c
"Do I get the certificate as soon as I submit, or only after peer reviews are done?",5ee1e7ea9c
"If the course says grading is complete but I still don’t see a certificate, what should I check next?",5ee1e7ea9c
What Python version should I install for the course so everything works smoothly?,29e58c5c37
"Is Python 3.10 a good choice for the data engineering zoomcamp setup, or should I use something else?",29e58c5c37
"Can I use Python 3.11 for the course libraries like pandas, SQLAlchemy, dbt, dlt, and PySpark?",29e58c5c37
"If I follow the older course videos that were made with Python 3.9, will that still be fine?",29e58c5c37
Where do I check if one module needs a different Python version than the default?,29e58c5c37
"Should I do this course on my laptop, in GitHub Codespaces, or on a Google Cloud VM?",4f1fe161b1
"If I use Codespaces, do I still need to set up localhost for tools like pgAdmin or Kestra?",4f1fe161b1
When would it make more sense to use a GCP VM instead of Codespaces or a local setup?,4f1fe161b1
"Do I need both a Codespaces environment and a GCP VM, or is one enough for the course?",4f1fe161b1
Is a GCP account required even if I don’t plan to run the course on Google Cloud compute?,4f1fe161b1
"Why do I get a bad result from install script when VSCode tries to connect to my GCP VM on Windows, and how do I fix it?",b92da7c113
"What should I change in the Windows registry if my SSH connection to ""MyServerName"" fails in VSCode with this error?",b92da7c113
"Where is the Autorun setting in regedit that might be breaking my GCP VM connection, and what value should it have?",b92da7c113
"Could deleting something in known_hosts solve the VSCode connection problem on Windows, and if so, what file should I edit?",b92da7c113
How do I remove the saved server fingerprint from Windows SSH when connecting to a VM from VSCode?,b92da7c113
Why is the course taught on GCP instead of AWS or Azure?,a8219681ec
Is there a reason BigQuery is used in the lessons rather than a cloud-neutral tool?,a8219681ec
Can I follow along with another cloud provider even though the recordings use GCP?,a8219681ec
Will I be blocked if I want to do my project on AWS or Azure instead of GCP?,a8219681ec
Do the ideas from the course still apply if I use AWS or Azure instead of GCP?,a8219681ec
"I'm on Windows and the .sh setup scripts don't seem to run properly — is Git Bash enough, or do I really need WSL for this course?",8b0214d089
"Why do the course modules use shell scripts, and what should I do if they fail on my Windows machine?",8b0214d089
"Can I get through the Zoomcamp on Windows without WSL, or will the shell scripts break things later on?",8b0214d089
"I can run some scripts in Git Bash, but not all of them — is that expected, and what's the recommended setup?",8b0214d089
What's the safest environment to avoid issues with the bash scripts used in the course?,8b0214d089
How do I troubleshoot an error before asking for help in Slack?,a83f047f52
What should I include when I post a question about a setup problem?,a83f047f52
Is it better to paste a screenshot or the exact command and error text in a help request?,a83f047f52
What are the best first steps if my install or container suddenly starts failing?,a83f047f52
"If I already asked about the same issue before, should I open a new thread or keep replying in the same one?",a83f047f52
How do I make backslash work as the escape character in Git Bash on Windows?,1ba19ed6a0
What command should I run in Git Bash if I want \ to be used for escaping?,1ba19ed6a0
"Do I need to add bash.escapeChar=\\ to my .bashrc, or is running it in the terminal enough?",1ba19ed6a0
"In Git Bash for Windows, how can I change the escape character to backslash without editing shell config files?",1ba19ed6a0
Is there a quick terminal command to set backslash as the escape char in Git Bash on Windows?,1ba19ed6a0
"How do I fix the Makefile error ""missing separator"" in VS Code?",e5dc51eac9
"Why does my Makefile break with ""*** missing separator. Stop."" after editing in VS Code?",e5dc51eac9
"In VS Code, how can I change indentation from spaces to actual tabs for a Makefile?",e5dc51eac9
What should I do if my Makefile line 2 fails because VS Code inserted spaces instead of tabs?,e5dc51eac9
How do I convert spaces to tabs in VS Code so my Makefile runs correctly?,e5dc51eac9
How can I open an HTML file from WSL2 in a Windows browser?,5b54567e89
What do I need to install to launch a local HTML page from Linux on WSL using the Windows browser?,5b54567e89
Is there a simple command to open index.html from WSL in the browser on my Windows host?,5b54567e89
"Can I choose a specific browser when opening HTML files from WSL2, and how do I set it?",5b54567e89
"My Linux terminal is on WSL2, but I want the page to open in Firefox on Windows — how do I do that?",5b54567e89
How do I keep secrets available in GitHub Codespaces without putting them in the repo?,994ef10e79
What’s the best way to store account-specific secrets for GitHub Codespaces?,994ef10e79
Where can I learn how to manage secrets that Codespaces can access?,994ef10e79
Is there a GitHub Docs guide for setting up secrets in Codespaces?,994ef10e79
How do I make sure my API keys are available when I open a GitHub Codespace?,994ef10e79
How do I set up Chrome Remote Desktop on a Debian Linux VM in Compute Engine?,1b03f3dadf
Is there a guide for getting Chrome Remote Desktop running on Linux on Google Cloud?,1b03f3dadf
Can I use Chrome Remote Desktop to access a GUI on my Compute Engine instance?,1b03f3dadf
What’s the easiest way to configure remote desktop access for a Debian VM on Compute Engine?,1b03f3dadf
Where can I find instructions for installing Chrome Remote Desktop on a Debian Linux virtual machine?,1b03f3dadf
Why does pgAdmin show a blank page after I log in when I'm running it in Docker inside GitHub Codespaces?,3d24f7796d
What environment variables should I set so pgAdmin works correctly behind the Codespaces reverse proxy?,3d24f7796d
"If pgAdmin still opens with a gray or blank screen in Codespaces, what settings can I change for cookies and CSRF?",3d24f7796d
Is there a safer fix for the Codespaces pgAdmin issue that keeps CSRF protection on?,3d24f7796d
Do I need to restart the pgAdmin container after changing these Docker environment variables in Codespaces?,3d24f7796d
My VM is suddenly full — what should I clean up first during ETL runs?,dcb8885c9b
How can I find which files or folders are eating all the space on my VM?,dcb8885c9b
I deleted big files but the disk space didn’t come back; what’s going on?,dcb8885c9b
What Docker cleanup command should I use if images and volumes are piling up?,dcb8885c9b
"How do I stop pipeline caches, logs, or working dirs from filling the VM again?",dcb8885c9b
How do I make Python run as a startup script on my machine?,a3776dc060
What should I change if I want Python to use my user account setup instead of the default one?,a3776dc060
Do I need to redefine a Python environment variable for my own account to run it at startup?,a3776dc060
How can I configure Python so it starts using the environment from my user profile?,a3776dc060
What’s the step to get Python running automatically with the right user environment variable?,a3776dc060
Why do I get 'ssh: Could not resolve hostname linux: Name or service not known' when I try to connect?,10407876a1
Where should I put my SSH config file so the hostname error goes away?,10407876a1
My SSH keeps failing with a hostname lookup error — is my config file in the wrong place?,10407876a1
What path should I use for the .ssh config file on Windows to fix the linux hostname issue?,10407876a1
How can I stop SSH from treating 'linux' as an invalid hostname?,10407876a1
How do I install or upgrade nbconvert so Jupyter can convert notebooks without errors?,35d7874a8d
What can I do if I get a “Failed to spawn: nbconvert” message when trying to export a notebook?,35d7874a8d
"If I’m using uv, what’s the right way to add Jupyter nbconvert support and run the conversion?",35d7874a8d
How can I turn a .ipynb notebook into a Python script from the command line?,35d7874a8d
What’s the difference between using uv run jupyter nbconvert and running python3 -m jupyter nbconvert directly?,35d7874a8d
Is there a different way to turn a Jupyter notebook into a .py file if nbconvert keeps failing?,c2f39b0ef3
What tool can I use instead of nbconvert to convert my notebook into a Python script?,c2f39b0ef3
How do I install Jupytext and use it to export a notebook to Python?,c2f39b0ef3
Can Jupytext replace nbconvert for converting .ipynb files to .py scripts?,c2f39b0ef3
What command should I run to convert a notebook to Python with Jupytext?,c2f39b0ef3
"Do I need to install Anaconda for this course, or is there a better setup now?",a1b2c3d4e5
What's the recommended tool for managing Python and dependencies in this course instead of Anaconda?,a1b2c3d4e5
How do I set up Python and a virtual environment for the course using the new recommended method?,a1b2c3d4e5
Can I use something faster and lighter than Anaconda for this course setup?,a1b2c3d4e5
What should I use to install packages and create the project environment for this course?,a1b2c3d4e5
"Does the course work on Linux, macOS, and Windows, or is one OS preferred?",a0e992e6ef
Can I finish the data engineering zoomcamp on Windows without problems?,a0e992e6ef
"If I’m on Windows, do I need WSL2 for the course setup?",a0e992e6ef
"Is Linux the easiest option for this course, or do the other systems work too?",a0e992e6ef
"Are Git Bash or MINGW64 enough on Windows, or should I use a WSL distro instead?",a0e992e6ef
"Can I do the capstone project on AWS, Snowflake, or Azure instead of GCP, or does it have to be Google Cloud?",19aaf65b2a
"If I pick a cloud other than GCP for the project, do I need to explain that choice during peer review?",19aaf65b2a
"Will the course videos still match if I use AWS or Azure, or will I have to adapt the steps myself?",19aaf65b2a
Is it possible to follow the course completely locally without using any cloud services at all?,19aaf65b2a
Which part of the course still needs GCP if I want to run everything else on my own machine?,19aaf65b2a
"Do I need to pay to use GCP for the course, or is there a free trial?",9aa9591efc
"How much credit does Google Cloud give for a new account, and is it enough for the course work?",9aa9591efc
"Will I need a credit or debit card to start the GCP free trial, even if I don't want to be charged?",9aa9591efc
What should I delete on GCP after each module so I don't burn through the free credits?,9aa9591efc
"Do I need to keep checking my GCP billing page, especially after creating Compute Engine VMs?",9aa9591efc
Should I use GCP Free Trial or Sandbox for this course?,d4c56f568d
Is the free trial the one I need to complete the assignments?,d4c56f568d
Can I do the data engineering zoomcamp with GCP Sandbox only?,d4c56f568d
What do I get with the $300 GCP free trial that I don’t get in Sandbox?,d4c56f568d
"Why is Sandbox not enough for this course, and should I just go with Free Trial?",d4c56f568d
My GCP signup keeps failing because my card gets rejected — is there any workaround people used successfully?,e834a2ff3e
"If GCP isn’t available in my country, can I still do the course without a cloud account?",e834a2ff3e
Has anyone managed to get around the card issue with a different bank card or a virtual card?,e834a2ff3e
"Do I really need GCP for all the homework, or is there a way to finish most of the course locally?",e834a2ff3e
My country seems unsupported by GCP — what’s the best option if I can’t open an account at all?,e834a2ff3e
"In GitHub Codespaces for this course, what actually eats up storage or memory, and what barely matters?",f685b2fddc
"Do Terraform files take up local Codespaces resources, or are they only creating stuff in GCP?",f685b2fddc
"Should I split each module into a separate repo to save space, or is one repo fine?",f685b2fddc
Which files should I keep out of git because they can fill up my Codespace fast?,f685b2fddc
"Does leaving Docker containers running in a Codespace use RAM, and should I stop them when I'm done?",f685b2fddc
"I'm trying to download the 2021 yellow taxi trip data from the TLC site, but I keep getting a 403 Forbidden error. Is there another place I can get the file?",6affd2987c
The NYC TLC download link for 2021 trips is blocked for me. What backup source should I use instead?,6affd2987c
"For the yellow taxi 2021-01 dataset, is there a direct alternative download link if the official website doesn't work?",6affd2987c
"I downloaded a file ending in .gz from the backup repo, but how do I open it correctly? Do I need to unzip it somehow?",6affd2987c
"If the TLC website returns an access denied error for taxi data, what's the recommended workaround in this course?",6affd2987c
Why does my taxi data file not save right when the download link ends with .csv.gz instead of .csv?,d677df9ccb
How can I make the filename come from the URL so I can handle yellow taxi files correctly?,d677df9ccb
Do I need to unzip a .csv.gz file first before using pandas read_csv?,d677df9ccb
What should I change in the code if output.csv is failing with compressed taxi data?,d677df9ccb
Can pandas read nyc taxi data directly from a .csv.gz file name without extra steps?,d677df9ccb
Where can I find the data dictionary for NYC yellow taxi trip records?,4ee5e16952
Is there a data dictionary link for green taxi trips in the NYC taxi dataset?,4ee5e16952
What document should I use to understand the fields in yellow trip records?,4ee5e16952
Does the course have separate data dictionaries for yellow and green taxi data?,4ee5e16952
Can someone share the official NYC taxi data dictionary PDFs for these trip records?,4ee5e16952
How do I unzip a downloaded .csv.gz file from the command line so I can load it with pandas?,8585d2d7f4
"Can pandas read a gzipped CSV directly, or do I need to extract it first?",8585d2d7f4
"In ingest_data.py, how should I change the download step if I want to work with a parquet file instead of the current file type?",8585d2d7f4
What code do I need to add to read a downloaded parquet file in Python and then save it as CSV for the rest of the script?,8585d2d7f4
Is there a simple way to convert a downloaded parquet file into a CSV file that pd.read_csv can use later?,8585d2d7f4
How do I fix the 'wget is not recognized' error on my machine?,b3030c88e7
Why do I also get a 'No such file or directory' message after trying to download a file?,b3030c88e7
What’s the easiest way to install wget on Windows so it works from the terminal?,b3030c88e7
Can I use wget through Python instead of installing the command-line tool?,b3030c88e7
"If wget still won’t work, what other simple way can I use to get the file and continue?",b3030c88e7
"Why do I get ""ERROR: cannot verify <website> certificate"" on MacOS when I try wget, and what should I change in my command?",542abbcb6a
"In a Jupyter notebook, do I need to put an exclamation mark before wget, and how does that affect the command?",542abbcb6a
"What’s the easiest way to download a file with wget if certificate verification keeps failing on Mac, maybe using a Python alternative?",542abbcb6a
"How can I make wget ignore the certificate check for a website that won’t verify, without switching tools?",542abbcb6a
"If wget works in terminal but not in my notebook, is there a special syntax I should use or an option like --no-check-certificate?",542abbcb6a
How do I use curl to save a downloaded file as output.csv instead of getting a could not resolve host error?,48cae101d6
Why does curl think output.csv is a host when I try to download a file from a URL?,48cae101d6
What's the right command to download a CSV with curl and write it to a local filename?,48cae101d6
How can I fix curl: (6) Could not resolve host: output.csv when saving a taxi data file?,48cae101d6
Is there a simple Python way to run curl so the download gets saved to csv_name?,48cae101d6
Why does wget still fail on the CloudFront parquet file even when I use --no-check-certificate?,c1135885e3
Is there a reason my download gets redirected to a blocked page instead of the dataset URL?,c1135885e3
What should I do if the CloudFront link is completely blocked on my network?,c1135885e3
Do I need a VPN to download the yellow_tripdata parquet file from CloudFront?,c1135885e3
What’s the difference between skipping certificate checks and bypassing a network block when using wget?,c1135885e3
How do I fix the error saying it cannot connect to the Docker daemon on unix:///var/run/docker.sock?,5e6c4090af
What should I check if Docker says the daemon is not running on my machine?,5e6c4090af
"If Docker won’t start in WSL, is there a command I need to run in PowerShell?",5e6c4090af
"Why am I getting a Docker daemon connection error, and how do I solve it quickly?",5e6c4090af
"When Docker can’t connect to the socket, is updating WSL with wsl --update the right fix?",5e6c4090af
"Why do I get the Docker error about the client needing elevated privileges on Windows, and how do I fix it?",46dbe4810d
"On Windows 10/11 Pro, what do I need to enable so Docker can connect properly?",46dbe4810d
I'm using Windows Home and Docker won't start — should I use WSL2 instead of Hyper-V?,46dbe4810d
What should I do if I see the open //./pipe/docker_engine file not found message when running docker?,46dbe4810d
How do I fix the WslRegisterDistribution failed with error 0x800701bc problem on Windows?,46dbe4810d
"Why does `docker pull dbpage/pgadmin4` fail with a denied access error, and what image name should I use instead?",bceb4aa421
"Do I need to run `docker login` before pulling the Docker images used in Module 1, or are they public?",bceb4aa421
"When `docker-compose up` starts, does it also try to download the images automatically if they’re not on my machine?",bceb4aa421
What does it mean if Docker says the repository doesn’t exist or may require login when I’m pulling an image?,bceb4aa421
In what cases would I actually need to log in before doing a `docker pull`?,bceb4aa421
Why does Postgres in Docker keep failing with chown or permission denied on my data folder?,0beb2b5df7
What's the easiest way to store Postgres data in Docker without these host folder permission problems?,0beb2b5df7
How do I fix a bind-mounted Postgres data directory on Linux if Docker says it can't change permissions?,0beb2b5df7
Why does docker build break with can't stat or permission denied when the Postgres data folder is in my project?,0beb2b5df7
"What does it mean when the Postgres data directory already exists but is not empty, and how do I reset it?",0beb2b5df7
How do I fix Docker Desktop on Windows 10 or 11 when it won't start or stays stuck in settings?,3549528659
Do I need to update or reinstall Docker for Windows if the upgrade button doesn't solve the problem?,3549528659
"If Docker is hanging on startup, is there a way to switch between Windows and Linux containers to get it working?",3549528659
What should I check on Windows 10/11 Pro if I'm using the Hyper-V backend and Docker won't launch properly?,3549528659
How do I set up or verify WSL2 for Docker on Windows 10 or 11 Pro when Docker is not starting?,3549528659
"On Windows Home, can I still use Docker for the course, or does it only work on Pro/Enterprise?",c7e1100613
"If Docker keeps getting stuck even after I set up WSL2 or Hyper-V, what should I try next?",c7e1100613
"Do I need to run Docker commands from the Windows filesystem, or should I use the Linux filesystem inside WSL?",c7e1100613
What’s the recommended fix if Docker is not working properly after following the WSL2 setup steps?,c7e1100613
"Should I do a factory reset in Docker, or is a fresh reinstall the better option when everything is broken?",c7e1100613
"Why do I get ""the input device is not a TTY"" when I run `docker run -it` on Windows?",ed8dcfbb5a
How can I fix the TTY error in Docker on Windows when using mintty?,ed8dcfbb5a
Do I need to use `winpty` before every Docker command on Windows?,ed8dcfbb5a
"What’s the easiest way to avoid the ""not a TTY"" problem with `docker run -it ubuntu bash`?",ed8dcfbb5a
Should I add an alias for Docker on Windows so it uses `winpty` automatically?,ed8dcfbb5a
"Why does pip install fail inside my Docker container on Windows with a name resolution error, and how can I fix it?",4c8959502e
I keep getting a Temporary failure in name resolution when trying to install pandas in a Docker container on Windows. What should I run instead?,4c8959502e
How do I start a Python Docker container on Windows so pip can reach the internet during package installs?,4c8959502e
Is there a DNS-related workaround for pip errors in Docker on Windows when the container can’t download from PyPI?,4c8959502e
What command should I use with Docker on Windows if pip inside the container can’t connect and throws Retry total/read/connect errors?,4c8959502e
Why does my Postgres data folder look empty on Windows even though the container started fine?,87e92edf02
What’s the correct `-v` path syntax for Docker in Git Bash or MINGW on Windows?,87e92edf02
Why am I getting `invalid reference format: repository name must be lowercase` when I run the Docker command?,87e92edf02
How do I stop Docker from creating weird folders like `ny_taxi_postgres_data;C` on Windows?,87e92edf02
"Should I just use a named volume instead of a host bind mount on Windows, and how do I do that?",87e92edf02
What's the easiest way to install Docker Desktop on a Mac for this course?,b2eabcd7dc
"Should I download Docker for macOS directly from Docker's site, or is Homebrew okay too?",b2eabcd7dc
"If I use Homebrew on Mac, what order should I install Docker Desktop and the CLI tools in?",b2eabcd7dc
Why do people say Homebrew can conflict with Docker Desktop on macOS?,b2eabcd7dc
What commands do I need to run to set up Docker and docker-compose with Homebrew on a Mac?,b2eabcd7dc
How do I make a backup of my PostgreSQL database if it's inside a Docker volume?,30dcc71db8
What's the easiest way to restore a Postgres backup from a Docker volume later?,30dcc71db8
Can I use `pg_dump` instead of copying the whole Docker volume for PostgreSQL backup?,30dcc71db8
"If my Postgres data is stored in a folder on my machine through docker-compose, can I just copy that folder as a backup?",30dcc71db8
"Do I need to stop the Postgres container before backing up the data volume, or can it run while I do it?",30dcc71db8
"I'm getting ""ERRO[0000] error waiting for container: context canceled"" when starting Docker on Ubuntu — could this be because I installed it with snap, and how do I check?",d87e3d2a14
"Why do I see ""Bind for 0.0.0.0:5432 failed: port is already allocated"" in Docker, and what should I do if the port is already taken?",d87e3d2a14
"I tried `sudo snap status docker` but it says `unknown command ""status""` — does that mean I should remove the snap version and reinstall Docker another way?",d87e3d2a14
My container won't start and Docker says the 5432 port is already in use; is this related to Docker being installed from snap?,d87e3d2a14
What's the fix for the Docker error that ends with `context canceled` and mentions port 5432 being allocated on Ubuntu?,d87e3d2a14
How do I check the name of a Docker network from the command line?,79e44b9c07
What command should I run to list all Docker networks on my machine?,79e44b9c07
Is there a way to see Docker network names using docker network ls?,79e44b9c07
How can I find out which network name Docker is using in my setup?,79e44b9c07
Where can I look up the Docker command for listing network names?,79e44b9c07
"Why do I get a Docker conflict saying the container name pg-database is already in use, and how can I fix it?",381dfe5145
"If my pg-database container is already running, do I need to stop and remove it before using the same name again?",381dfe5145
What’s the right way to restart a Docker container without running into the name already exists error?,381dfe5145
Can I use docker start instead of docker run when I want to bring back the same container?,381dfe5145
How do I safely clear the old pg-database container so I can reuse that container name?,381dfe5145
"Why does Docker Compose say it can’t translate host name like pgdatabase or pg-database, and what does it actually mean?",1700cb2bd4
How do I check if my ingestion container and Postgres service are really on the same Docker network?,1700cb2bd4
"My docker run uses --network, but the hostname still fails to resolve — could the Compose network name be different from what I typed?",1700cb2bd4
"Should I use localhost, pgdatabase, or pg-database for the database host depending on whether I run the script inside or outside Docker?",1700cb2bd4
What’s the easiest way to fix this hostname problem in docker-compose.yml so the network name stays stable?,1700cb2bd4
I’m running Windows 11 or macOS inside a Linux VM and Docker won’t install — is this because nested virtualization isn’t enabled?,c6cd0fedc5
What do I need to do on the host before starting my VM so Docker can work in a nested setup?,c6cd0fedc5
